2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΔΕΠΣ,ΔΕΠΣ,Π,4,Υ,120321,,,,,09:00:00,12:00:00,09:00-10:00,11:00-12:00,11,71661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25744,6,,2016-06-06,538750
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΔΕΠΣ,ΔΕΠΣ,Π,6,Υ,120327,,,,,14:00:00,17:00:00,14:00-15:00,16:00-17:00,12,71912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25746,6,,2016-06-06,538751
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΔΕΠΣ,ΔΕΠΣ,Π,2,Υ,120335,,,,,14:00:00,17:00:00,14:00-15:00,16:00-17:00,5,71840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25749,6,,2016-06-06,538752
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΔΕΠΣ,ΔΕΠΣ,Π,2,Υ,120435,,,ΣΥΡΙΓΟΣ,,09:00:00,12:00:00,09:00-10:00,11:00-12:00,61,72625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25760,6,,2016-06-06,538753
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΔΕΠΣ,ΔΕΠΣ,Π,4,Ε,120454,,,,,12:00:00,15:00:00,12:00-13:00,14:00-15:00,11,71664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25767,6,,2016-06-06,538754
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΔΕΠΣ,ΔΕΠΣ,Π,8,Υ,120466,,,,,15:00:00,18:00:00,15:00-16:00,17:00-18:00,11,71667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25772,6,,2016-06-06,538755
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,,ΔΕΠΣ,Π,6,Ε,120481,,,,,17:00:00,20:00:00,17:00-18:00,19:00-20:00,36,72311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25780,6,,2016-06-06,538756
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΔΕΠΣ,ΔΕΠΣ,Π,6,Ε,120486,,,,,11:00:00,14:00:00,11:00-12:00,13:00-14:00,12,71909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25783,6,,2016-06-06,538757
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΔΕΠΣ,ΔΕΠΣ,Π,8,Υ,120489,,,,,08:00:00,11:00:00,08:00-09:00,10:00-11:00,12,71906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25786,6,,2016-06-06,538758
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,,,,,,30/05/15 ΦΟΙΤ ΕΚΛΟΓ,,,,,:00,:00,,,"ΑΙΘΟΥΣΑ Α1,   ΚΩΔ: 010",71623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,538759
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΤΟΠΑ,ΠΕΙ,,,,30/05/16 ΔΕΠΣ ΣΥΡΙΓΟΣ,,,,,08:00:00,10:00:00,08:00-09:00,09:00-10:00,3,71798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,538760
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΚΟΙΝ,ΚΟΙΝ,Π,6,Ε,300023,ΕΓΚΛΗΜΑΤΟΛΟΓΙΚΕΣ ΠΡΟΣΕΓΓΙΣΕΙΣ ΠΔ,3,ΛΑΜΠΡΟΠΟΥΛΟΥ,,12:00:00,15:00:00,12:00-13:00,14:00-15:00,27,72180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25809,5,,2016-06-06,538761
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΚΟΙΝ,ΚΟΙΝ,Π,,Ε,300071,ΚΟΙΝΩΝΙΑ ΣΤΡΑΤΟΣ,3,ΚΑΡΑΜΠΕΛΙΑΣ,,12:00:00,15:00:00,12:00-13:00,14:00-15:00,55,72543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25822,5,,2016-06-06,538762
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΚΟΙΝ,ΚΟΙΝ,Π,6,Ε,300155,ΚΟΙΝΩΝΙΑ ΚΟΙΝΩΤΙΣΜΟΣ,3,ΚΩΣΤΟΠΟΥΛΟΣ,,11:00:00,14:00:00,11:00-12:00,13:00-14:00,9,71627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25844,5,,2016-06-06,538763
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΚΟΙΝ,ΚΟΙΝ,Π,8,Ε,300227,ΕΓΚΛΗΜΑΤΑ ΠΟΥ ΣΥΝΔΕΟΝΤΑΙ ΜΕ ΠΡΟΣΒΟΛΕΣ ΠΟΛΙΤΕΥΜΑΤΟΣ,3,ΠΑΠΑΝΕΟΦΥΤΟΥ-ΤΖΩΡΤΖΗΣ,,12:00:00,18:00:00,12:00-13:00,17:00-18:00,19,72036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25893,5,,2016-06-06,538764
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΚΟΙΝ,ΚΟΙΝ,Π,4,Υ,300632,ΟΙΚΟΝΟΜΙΑ ΚΑΙ ΚΟΙΝΩΝΙΑ ΣΤΗΝ ΕΛΛΑΔΑΤΟΥ20 ΑΙ Ι,3,ΣΑΚΕΛΛΑΡΟΠΟΥΛΟΣ,,16:00:00,19:00:00,16:00-17:00,18:00-19:00,31,72256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25905,5,,2016-06-06,538765
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΚΟΙΝ,ΚΟΙΝ,Π,,Ε,300763,ΙΣΛΑΜ,3,ΚΑΡΑΜΠΕΛΙΑΣ,,09:00:00,12:00:00,09:00-10:00,11:00-12:00,55,72540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25931,5,,2016-06-06,538766
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΚΟΙΝ,ΚΟΙΝ,Π,4,Ε,300773,ΕΓΚΛΗΜΑΤΟΛΟΓΙΚΗ ΘΕΩΡΙΑ ΙΙ,3,ΛΑΜΠΡΟΠΟΥΛΟΥ,,09:00:00,12:00:00,09:00-10:00,11:00-12:00,27,72177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25933,5,,2016-06-06,538767
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΚΟΙΝ,ΚΟΙΝ,Π,4,Ε,300779,ΕΜΠΕΙΡΙΚΗ ΕΓΚΛΗΜΑΤΟΛΟΓΙΑ ΙΙ,3,ΖΑΡΑΦΩΝΙΤΟΥ,,12:00:00,15:00:00,12:00-13:00,14:00-15:00,31,72252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25936,5,,2016-06-06,538768
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΚΟΙΝ,ΚΟΙΝ,Μ,2,Υ,32Μ004,ΠΟΛΗ ΕΓΚΛΗΜΑΤΙΚΟΤΗΤΑ,,ΖΑΡΑΦΩΝΙΤΟΥ,,18:00:00,21:00:00,18:00-19:00,20:00-21:00,27,72186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25573,4,,2016-06-06,538769
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΕΜΕΠ,ΕΜΕΠ,Π,4,Υ,410079,,,,,11:00:00,14:00:00,11:00-12:00,13:00-14:00,10,71645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25955,1,,2016-06-06,538770
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΕΜΕΠ,ΕΜΕΠ,Π,8,Υ,410087,,,,,17:00:00,20:00:00,17:00-18:00,19:00-20:00,16,71987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25958,1,,2016-06-06,538771
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΕΜΕΠ,ΕΜΕΠ,Π,2,Υ,410154,,,,,10:00:00,14:00:00,10:00-11:00,13:00-14:00,10,71644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25968,1,,2016-06-06,538772
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΕΜΕΠ,ΕΜΕΠ,Π,6,Υ,410185,,,,,14:00:00,17:00:00,14:00-15:00,16:00-17:00,10,71648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25974,1,,2016-06-06,538773
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΕΜΕΠ,ΕΜΕΠ,Π,4,Υ,410216,,,,,14:00:00,18:00:00,14:00-15:00,17:00-18:00,30,72236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25983,1,,2016-06-06,538774
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΕΜΕΠ,ΕΜΕΠ,Π,6,Υ,410239,,,,,10:00:00,13:00:00,10:00-11:00,12:00-13:00,30,72232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25995,1,,2016-06-06,538775
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΕΜΕΠ,ΕΜΕΠ,Π,6,Υ,410263,,,,,18:00:00,22:00:00,18:00-19:00,21:00-22:00,30,72240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26013,1,,2016-06-06,538776
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΕΜΕΠ,ΕΜΕΠ,Π,8,Υ,410271,,,,,14:00:00,17:00:00,14:00-15:00,16:00-17:00,16,71984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26020,1,,2016-06-06,538777
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΕΜΕΠ,ΚΠ,Π,6,Ε,510020,,,,,11:00:00,14:00:00,11:00-12:00,13:00-14:00,5,71837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-06,538778
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΚΠ,ΚΠ,Π,4,Υ,510027,,,,,08:00:00,11:00:00,08:00-09:00,10:00-11:00,22,72086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26046,3,,2016-06-06,538779
2015-16,,ΕΔ,2016-02-23,2016-06-06,1,ΚΠ,ΚΠ,Π,2,Υ,510053,,,,,11:00:00,14:00:00,11:00-12:00,13:00-14:00,22,72089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26050,3,,2016-06-06,538780
