1,2017,1,2018-02-15 17:45:18,2018-03-27 10:01:50,2017-09-15,2018-09-15,2017-18,6
3,2016,-1,,,2016-09-15,2017-09-14,2016-17,10
6,2014,-1,,,2014-09-15,2015-09-14,2014-15,0
7,2015,-1,,,2015-09-15,2016-09-14,2015-16,0
