2048,25483,351,tranfer,2018-05-07 11:46:47,
2049,25483,352,tranfer,2018-05-07 11:46:47,
2050,25484,353,tranfer,2018-05-07 11:46:47,
2051,25485,354,tranfer,2018-05-07 11:46:47,
2052,25486,355,tranfer,2018-05-07 11:46:47,
2053,25487,356,tranfer,2018-05-07 11:46:47,
2054,25488,357,tranfer,2018-05-07 11:46:47,
2055,25489,353,tranfer,2018-05-07 11:46:47,
2056,25490,358,tranfer,2018-05-07 11:46:47,
2057,25491,359,tranfer,2018-05-07 11:46:47,
2058,25492,360,tranfer,2018-05-07 11:46:47,
2059,25493,361,tranfer,2018-05-07 11:46:47,
2060,25494,361,tranfer,2018-05-07 11:46:47,
2061,25495,362,tranfer,2018-05-07 11:46:47,
2062,25496,357,tranfer,2018-05-07 11:46:47,
2063,25497,363,tranfer,2018-05-07 11:46:47,
2064,25498,358,tranfer,2018-05-07 11:46:47,
2065,25499,357,tranfer,2018-05-07 11:46:47,
2066,25500,364,tranfer,2018-05-07 11:46:47,
2067,25501,365,tranfer,2018-05-07 11:46:47,
2068,25502,366,tranfer,2018-05-07 11:46:47,
2069,25502,367,tranfer,2018-05-07 11:46:47,
2070,25503,368,tranfer,2018-05-07 11:46:47,
2071,25504,369,tranfer,2018-05-07 11:46:47,
2072,25505,370,tranfer,2018-05-07 11:46:47,
2073,25505,371,tranfer,2018-05-07 11:46:47,
2074,25506,372,tranfer,2018-05-07 11:46:47,
2075,25506,373,tranfer,2018-05-07 11:46:47,
2076,25507,372,tranfer,2018-05-07 11:46:47,
2077,25508,374,tranfer,2018-05-07 11:46:47,
2078,25508,375,tranfer,2018-05-07 11:46:47,
2079,25509,369,tranfer,2018-05-07 11:46:47,
2080,25509,373,tranfer,2018-05-07 11:46:47,
2081,25510,368,tranfer,2018-05-07 11:46:47,
2082,25510,376,tranfer,2018-05-07 11:46:47,
2083,25511,377,tranfer,2018-05-07 11:46:47,
2084,25511,372,tranfer,2018-05-07 11:46:47,
2085,25511,373,tranfer,2018-05-07 11:46:47,
2086,25512,378,tranfer,2018-05-07 11:46:47,
2087,25512,379,tranfer,2018-05-07 11:46:47,
2088,25512,373,tranfer,2018-05-07 11:46:47,
2089,25513,378,tranfer,2018-05-07 11:46:47,
2090,25514,378,tranfer,2018-05-07 11:46:47,
2091,25513,369,tranfer,2018-05-07 11:46:47,
2092,25514,369,tranfer,2018-05-07 11:46:47,
2093,25513,379,tranfer,2018-05-07 11:46:47,
2094,25514,379,tranfer,2018-05-07 11:46:47,
2095,25513,378,tranfer,2018-05-07 11:46:47,
