ΑΚΑΔΗΜΑΙΚΟ ΕΤΟΣ ΠΛΗΡΕΣ,ΑΚΑΔΗΜΑΙΚΟ ΕΤΟΣ,ΧΡΟΝΟΠΕΡΙΟΔΟΣ,ΠρώτοΤουΑΠΟ ΗΜΕΡΟΜΗΝΙΑ,ΠρώτοΤουΕΩΣ ΗΜΕΡΟΜΗΝΙΑ,ΠρώτοΤουΗΜΕΡΑ,ΠρώτοΤου(ΤΜΗΜΑ ΚΑΤΑΝΟΜΗ),ΠρώτοΤου(ΤΜΗΜΑ (ΔΕΣΜΕΥΣΗ) ***),ΠρώτοΤου(Π/Μ ***),ΠρώτοΤου(ΕΞΑΜ ***),ΠρώτοΤου(Υ/Ε ***),ΠρώτοΤου(ΚΩΔ ΜΑΘΗΜ ***),ΠρώτοΤου(ΛΕΚΤ ΜΑΘΗΜ),ΠρώτοΤου(ΔΙΔ ΜΟΝΑΔΕΣ),ΠρώτοΤου(ΔΙΔΑΣΚΩΝ),ΠρώτοΤουΗΜΕΡΟΜΗΝΙΑ ΜΙΑΣ ΜΕΡΑΣ,ουΠρώτοΤουΩΡΕΣ ΑΠΟ-ΕΩΣ:00,ουΤελευταίοΤουΩΡΕΣ ΑΠΟ-ΕΩΣ:00,ΠρώτοΤουΠρώτοΤουΩΡΕΣ ΑΠΟ-ΕΩΣ,ΠρώτοΤουΤελευταίοΤουΩΡΕΣ ΑΠΟ-ΕΩΣ,ΠρώτοΤουΑναγνωριστικό,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΔΔ,1,Π,5,Υ,18748,,,,,15:00:00,16:00:00,14:00-15:00,15:00-16:00,70446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΔΔ,1,Π,5,Υ,18749,,,,,12:00:00,12:00:00,11:00-12:00,11:00-12:00,70849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΔΔ,1,Π,7,Υ,18753,,,,,13:00:00,14:00:00,12:00-13:00,13:00-14:00,86658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΔΔ,1,Π,7,Υ,18754,,,,,20:00:00,21:00:00,19:00-20:00,20:00-21:00,78594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΔΔ,1,Π,7,Υ,18755,,,,,15:00:00,16:00:00,14:00-15:00,15:00-16:00,70332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΔΔ,1,Π,7,Υ,18758,,,,,11:00:00,12:00:00,10:00-11:00,11:00-12:00,70460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΨΥΧ,1,Π,5,Ε,18762,,,,,15:00:00,16:00:00,14:00-15:00,15:00-16:00,78689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,5,ΔΔ,1,Π,5,Ε,18766,,,,,11:00:00,13:00:00,10:00-11:00,12:00-13:00,102756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΔΔ,1,Π,5,Υ,18775,,,,,17:00:00,20:00:00,16:00-17:00,19:00-20:00,86698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΔΔ,1,Π,3,Ε,21500,,,,,10:00:00,12:00:00,09:00-10:00,11:00-12:00,87525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΔΔ,1,Π,7,Υ,18783,,,,,17:00:00,18:00:00,16:00-17:00,17:00-18:00,70484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΔΔ,1,Π,7,Υ,21509,,,,,09:00:00,10:00:00,08:00-09:00,09:00-10:00,70440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΔΔ,1,Π,3,Υ,18786,,,,,09:00:00,10:00:00,08:00-09:00,09:00-10:00,78565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΔΔ,1,Π,5,Υ,18788,,,,,21:00:00,22:00:00,20:00-21:00,21:00-22:00,86684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΔΔ,1,Π,7,Υ,18791,,,,,17:00:00,18:00:00,16:00-17:00,17:00-18:00,70448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΔΔ,1,Π,7,Υ,18792,,,,,15:00:00,16:00:00,14:00-15:00,15:00-16:00,71316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΔΔ,1,Π,7,Ε,18801,,,,,17:00:00,19:00:00,16:00-17:00,18:00-19:00,79425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΔΔ,1,Π,3,Υ,18804,,,,,21:00:00,22:00:00,20:00-21:00,21:00-22:00,70858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,5,ΔΔ,1,Π,3,Ε,18805,,,,,11:00:00,13:00:00,10:00-11:00,12:00-13:00,103740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΔΔ,1,Π,1,Υ,18807,,,,,11:00:00,12:00:00,10:00-11:00,11:00-12:00,70406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΔΔ,1,Π,3,Υ,18808,,,,,15:00:00,16:00:00,14:00-15:00,15:00-16:00,78553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΔΔ,1,Π,5,Ε,21541,,,,,20:00:00,22:00:00,19:00-20:00,21:00-22:00,79428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΔΔ,1,Π,7,Ε,18812,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,79400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,5,ΤΟΠΑ,1,Π,7,ΕΕ,18816,,,,,17:00:00,21:00:00,16:00-17:00,20:00-21:00,102894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΔΔ,1,Π,1,Υ,18820,,,,,16:00:00,17:00:00,15:00-16:00,16:00-17:00,87067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΔΔ,1,Π,5,Υ,18821,,,,,18:00:00,19:00:00,17:00-18:00,18:00-19:00,87533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,5,ΔΔ,1,Π,5,Ε,18824,,,,,18:00:00,20:00:00,17:00-18:00,19:00-20:00,102877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΤΟΠΑ,1,Π,1,Υ,18832,,,,,09:00:00,10:00:00,08:00-09:00,09:00-10:00,78953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΤΟΠΑ,1,Π,7,Υ,800002,,,,,14:00:00,14:00:00,13:00-14:00,13:00-14:00,86677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΚΟΙΝ,1,Π,1,Υ,18834,,,,,19:00:00,14:00:00,18:00-19:00,13:00-14:00,70820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΤΟΠΑ,1,Π,1,Υ,18835,,,,,11:00:00,12:00:00,10:00-11:00,11:00-12:00,78955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΚΟΙΝ,1,Π,1,Υ,18836,,,,,11:00:00,12:00:00,10:00-11:00,11:00-12:00,87026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΤΟΠΑ,1,Π,1,Υ,18838,,,,,13:00:00,14:00:00,12:00-13:00,13:00-14:00,78939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΤΟΠΑ,1,Π,3,Υ,18839,,,,,17:00:00,18:00:00,16:00-17:00,17:00-18:00,70836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΤΟΠΑ,1,Π,3,Υ,18841,,,,,17:00:00,18:00:00,16:00-17:00,17:00-18:00,78573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΤΟΠΑ,1,Π,3,Υ,18844,,,,,15:00:00,16:00:00,14:00-15:00,15:00-16:00,70464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΤΟΠΑ,1,Π,3,Υ,18847,,,,,15:00:00,16:00:00,14:00-15:00,15:00-16:00,86678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΤΟΠΑ,1,Π,3,Υ,18850,,,,,15:00:00,16:00:00,14:00-15:00,15:00-16:00,78571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΚΟΙΝ,1,Π,5,Υ,18852,,,,,09:00:00,10:00:00,08:00-09:00,09:00-10:00,78917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΤΟΠΑ,1,Π,7,Υ,18854,,,,,13:00:00,14:00:00,12:00-13:00,13:00-14:00,70462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΤΟΠΑ,1,Π,7,Υ,18858,,,,,13:00:00,14:00:00,12:00-13:00,13:00-14:00,78569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΤΟΠΑ,1,Π,5,Υ,18861,,,,,09:00:00,10:00:00,08:00-09:00,09:00-10:00,87042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΤΟΠΑ,1,Π,7,Υ,18862,,,,,11:00:00,12:00:00,10:00-11:00,11:00-12:00,78567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΤΟΠΑ,1,Π,5,Υ,18867,,,,,11:00:00,12:00:00,10:00-11:00,11:00-12:00,70830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,5,ΤΟΠΑ,1,Π,5,Ε,18868,,,,,15:00:00,16:00:00,14:00-15:00,15:00-16:00,102820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΤΟΠΑ,1,Π,7,Ε,18873,,,,,09:00:00,12:00:00,08:00-09:00,11:00-12:00,86672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΚΟΙΝ,1,Π,7,Ε,18875,,,,,17:00:00,18:00:00,16:00-17:00,17:00-18:00,70502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,5,ΔΔ,1,Π,7,Υ,18880,,,,,15:00:00,16:00:00,14:00-15:00,15:00-16:00,103262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΤΟΠΑ,1,Π,5,Ε,18883,,,,,17:00:00,12:00:00,16:00-17:00,11:00-12:00,86608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΤΟΠΑ,1,Π,7,Ε,18892,,,,,17:00:00,18:00:00,16:00-17:00,17:00-18:00,78943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΤΟΠΑ,1,Π,7,Ε,18895,,,,,15:00:00,16:00:00,14:00-15:00,15:00-16:00,70834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΤΟΠΑ,1,Π,5,Ε,18896,,,,,15:00:00,16:00:00,14:00-15:00,15:00-16:00,78941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΚΟΙΝ,1,Π,7,Ε,18901,,,,,15:00:00,16:00:00,14:00-15:00,15:00-16:00,78499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΤΟΠΑ,1,Π,7,Ε,18904,,,,,19:00:00,20:00:00,18:00-19:00,19:00-20:00,78945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΚΟΙΝ,1,Π,5,Ε,18907,,,,,17:00:00,18:00:00,16:00-17:00,17:00-18:00,86716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΤΟΠΑ,1,Π,5,Υ,18917,,,,,19:00:00,12:00:00,18:00-19:00,11:00-12:00,78575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΤΟΠΑ,1,Π,5,Ε,18918,,,,,19:00:00,20:00:00,18:00-19:00,19:00-20:00,86610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,5,ΤΟΠΑ,1,Π,7,Ε,18922,,,,,17:00:00,18:00:00,16:00-17:00,17:00-18:00,102822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΚΟΙΝ,1,Π,,,21655,,,,,19:00:00,20:00:00,18:00-19:00,19:00-20:00,70504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΨΥΧ,1,Π,,Υ,"800130, 800132",ΑΓΓΛΙΚΑ,,,,19:00:00,21:00:00,18:00-19:00,20:00-21:00,86718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΤΟΠΑ,1,Π,,Ε,21663,,,,,19:00:00,20:00:00,18:00-19:00,19:00-20:00,87052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΔΔ,1,Μ,,,SKALTSA,,,,,17:00:00,18:00:00,16:00-17:00,17:00-18:00,79408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΚΟΙΝ,ΓΡ ΔΙΑΣΥΝ,,,,ΓΡ ΔΙΑΣΥΝ,,,,,13:00:00,14:00:00,12:00-13:00,13:00-14:00,70724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΔΔ,6,,,,ΔΔ 14/01/16 ΜΑΘΗΜΑ,,,,,17:00:00,18:00:00,16:00-17:00,17:00-18:00,86548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΨΥΧ,ΔΔ ΠΜΣ,Μ,,,ΔΔ ΠΜΣ,,,ΜΠΩΛΟΣ,,18:00:00,18:00:00,17:00-18:00,17:00-18:00,70299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΔΔ,1,Μ,,,ΔΔ ΠΜΣ ΑΝΑΓΝΩΣΤΟΥ,,,,,19:00:00,20:00:00,18:00-19:00,19:00-20:00,87551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΔΔ,1,Μ,,,ΔΔ ΠΜΣ ΔΙΑΤΜ,,,ΑΝΑΓΝΩΣΤΟΥ,,17:00:00,19:00:00,16:00-17:00,18:00-19:00,78441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΔΔ,ΔΔ ΠΜΣ,Μ,,,ΔΔ ΠΜΣ ΜΟΥΣΤΑΚΑΣ,,,"ΜΟΥΣΤΑΚΑ, ΚΡΙΑΡΗ, ΧΑΝΟΣ",,20:00:00,21:00:00,19:00-20:00,20:00-21:00,86791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΔΔ,1,Μ,,,ΔΔ ΠΜΣ ΤΣΑΜΗΣ,,,,,19:00:00,22:00:00,18:00-19:00,21:00-22:00,79410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΚΟΙΝ,5,,,,ΔΔ ΠΜΣ ΦΙΛΟΣ,,,,,20:00:00,22:00:00,19:00-20:00,21:00-22:00,70605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΔΕΠΣ,6,Μ,,,ΔΕΠΣ,,,,,09:00:00,22:00:00,08:00-09:00,21:00-22:00,71106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,5,ΔΕΠΣ,6,,,,ΔΕΠΣ 15/01/16 ΑΝΑΠΛ,,,,,15:00:00,17:00:00,14:00-15:00,16:00-17:00,102982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,5,ΚΟΙΝ,,,,,ΔΕΠΣ 15/01/16 ΑΝΑΠΛ ΤΣΟΛΚΑ,,,,,13:00:00,15:00:00,12:00-13:00,14:00-15:00,103026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΔΔ,1,,,,ΔΕΠΣ 20/01/16 ΠΡΟΟΔΟΣ ΚΑΝΕΛΛΟΠ,,,,,11:00:00,12:00:00,10:00-11:00,11:00-12:00,86620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΔΔ,6,Μ,,,ΔΕΠΣ ΠΜΣ,,,,,19:00:00,21:00:00,18:00-19:00,20:00-21:00,86550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΕΜΕΠ,1,Μ,,,ΕΜΕΠ,,,,,19:00:00,22:00:00,18:00-19:00,21:00-22:00,70318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΤΟΠΑ,2,,,,ΕΜΕΠ 11/01/16 ΚΑΠΕΡΩΝΗΣ,,,,,11:00:00,14:00:00,10:00-11:00,13:00-14:00,70328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΚΑ,,,,,ΕΜΕΠ 12/01/16 ΠΑΡΑΔΕΙΣΗ,,,,,15:00:00,18:00:00,14:00-15:00,17:00-18:00,78743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,5,ΕΜΕΠ,,,,,ΕΜΕΠ 15/01/16 ΤΑΙΝΙΑ,,,,,13:00:00,14:00:00,12:00-13:00,13:00-14:00,103116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΚΠ,1,Π,3,Υ/Ε,ΕΜΕΠ 21/01/16 ΑΝΑΠΛΗΡ 410195,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,87060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,5,ΨΥΧ,,,,,ΕΜΕΠ 22/01/16 ΑΝΑΠΛ ΚΙΚΗ,,,,,19:00:00,21:00:00,18:00-19:00,20:00-21:00,102710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,5,ΚΟΙΝ,1,Π,3,Υ/Ε,ΕΜΕΠ 22/01/16 ΑΝΑΠΛΗΡ 410195,,,,,13:00:00,15:00:00,12:00-13:00,14:00-15:00,102836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,,1,,,,ΚΑ,,,ΚΥΡΙΑΖΗ,,13:00:00,15:00:00,12:00-13:00,14:00-15:00,78975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΕΜΕΠ,3,,,,ΚΑ ? 10/11/15 ΣΥΖ ΑΛΛΑΓΗ 110.900.006,,,,,09:00:00,11:00:00,08:00-09:00,10:00-11:00,70422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΔΔ,ΚΑ ΔΙΑΤΜ,Μ,,,ΚΑ ΔΙΑΤΜ,,,ΠΑΠΑΓΑΡΟΥΦΑΛΗ,,20:00:00,22:00:00,19:00-20:00,21:00-22:00,70337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,2,ΚΟΙΝ,5,Μ,,,ΚΟΙΝ,,,,,19:00:00,21:00:00,18:00-19:00,20:00-21:00,79376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΠΕΙ,,,,,ΚΟΙΝ 18/01/16 ΛΥΔΑΚΗ,,,,,15:00:00,17:00:00,14:00-15:00,16:00-17:00,70572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΚΟΙΝ,5,Μ,,,ΚΟΙΝ ΠΜΣ,,,,,19:00:00,21:00:00,18:00-19:00,20:00-21:00,86962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,3,ΚΟΙΝ,ΞΓΛ,,,,ΞΓΛ ΓΕΡΜΑΝΙΚΑ,,,,,16:00:00,19:00:00,15:00-16:00,18:00-19:00,86941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,1,ΠΕΙ,2,,,,ΠΕΙ,,,,,15:00:00,22:00:00,14:00-15:00,21:00-22:00,70296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,7,47,05/10/15,23/01/16,5,ΠΕΙ,,,,,ΠΕΙ 22/01/16 ΑΝΑΠΛ ΜΠΙΘΥΜΗΤΡΗΣ,,,,,18:00:00,20:00:00,17:00-18:00,19:00-20:00,103067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
