1,ΕΕ,22/5/2018,11/6/2018,22/5/2018,2,ΠΜΣ ΚΟΙΝ ΖΑΡΑΦΩΝΙΤΟΥ,,,,31,18:00-19:00,20:00-21:00,18:00-19:00,20:00-21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2018-5-22,537636
1,ΕΕ,22/5/2018,11/6/2018,23/5/2018,3,ΔΔ ΤΣΑΜΗΣ ΠΑΡΟΥΣΙΑΣΗ,,,,7,08:00-09:00,13:00-14:00,08:00-09:00,13:00-14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2018-5-23,537637
1,ΕΕ,22/5/2018,11/6/2018,23/5/2018,3,ΔΕΠΣ,,,,14,14:00-15:00,15:00-16:00,14:00-15:00,15:00-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2018-5-23,537638
1,ΕΕ,22/5/2018,11/6/2018,23/5/2018,3,ΔΕΠΣ,,,,49,08:00-09:00,21:00-22:00,08:00-09:00,21:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2018-5-23,537639
1,ΕΕ,22/5/2018,11/6/2018,23/5/2018,3,ΔΕΠΣ,,,,71,08:00-09:00,21:00-22:00,08:00-09:00,21:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2018-5-23,537640
1,ΕΕ,22/5/2018,11/6/2018,23/5/2018,3,ΚΠ,,,,20,10:00-11:00,15:00-16:00,10:00-11:00,15:00-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2018-5-23,537641
1,ΕΕ,22/5/2018,11/6/2018,23/5/2018,3,ΠΕΙ,,,,7,16:00-17:00,17:00-18:00,16:00-17:00,17:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2018-5-23,537642
1,ΕΕ,22/5/2018,11/6/2018,23/5/2018,3,ΠΕΙ,,,,11,08:00-09:00,09:00-10:00,08:00-09:00,09:00-10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2018-5-23,537643
1,ΕΕ,22/5/2018,11/6/2018,23/5/2018,3,ΠΕΙ,,,,21,08:00-09:00,19:00-20:00,08:00-09:00,19:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2018-5-23,537644
1,ΕΕ,22/5/2018,11/6/2018,23/5/2018,3,ΠΕΙ,,,,22,08:00-09:00,09:00-10:00,08:00-09:00,09:00-10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2018-5-23,537645
1,ΕΕ,22/5/2018,11/6/2018,23/5/2018,3,ΠΕΙ,,,,39,08:00-09:00,21:00-22:00,08:00-09:00,21:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2018-5-23,537646
