4,Διδα,Διδασκαλεια,2018-02-15 17:31:04,2018-03-07 10:29:47,
5,Σεμ,Σεμιναρίων,2018-02-27 12:40:39,2018-03-19 12:38:00,
7,ΤΗΛ,Τηλεδιασκεψη,2018-03-06 13:27:28,2018-03-06 13:28:29,
8,ΕΚ,Εκδηλώσεων,2018-03-06 13:28:06,2018-03-19 12:38:23,
9,Ερ,Εργαστήρια,2018-03-19 12:38:49,2018-03-19 12:38:49,
10,Δια,Διασκέψεων,2018-03-19 12:39:05,2018-03-19 12:39:05,
11,Τελ,Τελετών,2018-03-19 12:39:58,2018-03-19 12:39:58,
12,Εξετ,Εξεταστική,,,
13,Αργ,Αργία,,,
