2376,15020,4,trtransfer,2018-05-04 15:55:12,,568,12:00:00,14:00:00,2
2377,15021,4,trtransfer,2018-05-04 15:55:12,,565,10:00:00,12:00:00,2
2378,15022,4,trtransfer,2018-05-04 15:55:12,,565,08:00:00,10:00:00,2
2379,15023,6,trtransfer,2018-05-04 15:55:12,,597,12:00:00,14:00:00,2
2380,15024,8,trtransfer,2018-05-04 15:55:12,,579,12:00:00,14:00:00,2
2381,15025,6,trtransfer,2018-05-04 15:55:12,,603,14:00:00,16:00:00,2
2382,15026,8,trtransfer,2018-05-04 15:55:12,,603,14:00:00,16:00:00,2
2383,15027,6,trtransfer,2018-05-04 15:55:12,,588,08:00:00,10:00:00,2
2384,15028,7,trtransfer,2018-05-04 15:55:12,,492,16:00:00,18:00:00,3
2385,15029,33,trtransfer,2018-05-04 15:55:12,,372,16:00:00,18:00:00,3
2386,15030,3,trtransfer,2018-05-04 15:55:12,,390,14:00:00,16:00:00,3
2387,15031,5,trtransfer,2018-05-04 15:55:12,,390,14:00:00,16:00:00,3
2388,15032,12,trtransfer,2018-05-04 15:55:12,,390,14:00:00,16:00:00,3
2389,15033,31,trtransfer,2018-05-04 15:55:12,,416,10:00:00,12:00:00,3
2390,15034,31,trtransfer,2018-05-04 15:55:12,,416,12:00:00,14:00:00,3
2391,15035,3,trtransfer,2018-05-04 15:55:12,,429,18:00:00,20:00:00,3
2392,15036,31,trtransfer,2018-05-04 15:55:12,,413,14:00:00,16:00:00,3
2393,15037,4,trtransfer,2018-05-04 15:55:12,,409,18:00:00,20:00:00,3
2394,15038,5,trtransfer,2018-05-04 15:55:12,,409,18:00:00,20:00:00,3
2395,15039,7,trtransfer,2018-05-04 15:55:12,,409,18:00:00,20:00:00,3
2396,15040,55,trtransfer,2018-05-04 15:55:12,,406,14:00:00,15:00:00,3
2397,15041,55,trtransfer,2018-05-04 15:55:12,,406,09:00:00,14:00:00,3
2398,15042,33,trtransfer,2018-05-04 15:55:12,,443,12:00:00,14:00:00,3
2399,15043,5,trtransfer,2018-05-04 15:55:12,,436,16:00:00,18:00:00,3
2400,15044,22,trtransfer,2018-05-04 15:55:12,,461,08:00:00,10:00:00,3
2401,15045,22,trtransfer,2018-05-04 15:55:12,,370,12:00:00,14:00:00,3
2402,15046,22,trtransfer,2018-05-04 15:55:12,,535,18:00:00,20:00:00,3
2403,15047,33,trtransfer,2018-05-04 15:55:12,,555,14:00:00,16:00:00,3
2404,15048,4,trtransfer,2018-05-04 15:55:12,,557,14:00:00,16:00:00,3
2405,15049,4,trtransfer,2018-05-04 15:55:12,,570,20:00:00,22:00:00,3
2406,15050,33,trtransfer,2018-05-04 15:55:12,,570,18:00:00,20:00:00,3
2407,15051,4,trtransfer,2018-05-04 15:55:12,,568,16:00:00,18:00:00,3
2408,15052,4,trtransfer,2018-05-04 15:55:12,,591,08:00:00,10:00:00,3
2409,15053,3,trtransfer,2018-05-04 15:55:12,,581,10:00:00,12:00:00,3
2410,15054,4,trtransfer,2018-05-04 15:55:12,,581,10:00:00,12:00:00,3
2411,15055,6,trtransfer,2018-05-04 15:55:12,,581,10:00:00,12:00:00,3
2412,15056,7,trtransfer,2018-05-04 15:55:12,,581,10:00:00,12:00:00,3
2413,15057,3,trtransfer,2018-05-04 15:55:12,,587,12:00:00,14:00:00,3
2414,15058,4,trtransfer,2018-05-04 15:55:12,,587,12:00:00,14:00:00,3
2415,15059,5,trtransfer,2018-05-04 15:55:12,,587,12:00:00,14:00:00,3
2416,15060,6,trtransfer,2018-05-04 15:55:12,,587,12:00:00,14:00:00,3
2417,15061,8,trtransfer,2018-05-04 15:55:12,,587,12:00:00,14:00:00,3
2418,15062,33,trtransfer,2018-05-04 15:55:12,,483,10:00:00,12:00:00,3
2419,15063,32,trtransfer,2018-05-04 15:55:12,,483,10:00:00,12:00:00,3
